  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20220001  MINU0001      No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No     
 20220002  YAAG0002      No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes    
 20220003  QWXH0003      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         Yes    
 20220004  FQZC0004      Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220005  ISBW0005      Yes         No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No     
 20220006  JITQ0006      No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No     
 20220007  USXA0007      Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes    
 20220008  JADR0008      No          Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes    
 20220009  USXU0009      No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          Yes         No     
 20220010  JHZY0010      No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No     
 20220011  REYC0011      No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         No     
 20220012  HRBG0012      Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          Yes         No          No     
 20220013  IDVT0013      No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         Yes    
 20220014  VDJJ0014      No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         No     
 20220015  NLZQ0015      No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes    
 20220016  NYDG0016      No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No     
 20220017  LGAE0017      Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          No     
 20220018  VJSD0018      No          No          No          Yes         No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20220019  BKOC0019      No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No     
 20220020  SZMT0020      No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          Yes    
 20220021  GZKZ0021      No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20220022  ZUVH0022      No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          No          No          Yes         No     
 20220023  TXWP0023      Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No     
 20220024  HBZE0024      No          No          No          Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No     
 20220025  PKZK0025      Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No     
 20220026  ZUSP0026      No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
